,Id,Value,Date
0,Sistema,142710800,2013-10-01
1,Sistema,126028500,2013-10-02
2,Sistema,153994800,2013-10-03
3,Sistema,341075900,2013-10-04
4,Sistema,167324800,2013-10-05
5,Sistema,117864100,2013-10-06
6,Sistema,111009400,2013-10-07
7,Sistema,138792300,2013-10-08
8,Sistema,110939700,2013-10-09
9,Sistema,131353600,2013-10-10
10,Sistema,115620500,2013-10-11
11,Sistema,119930300,2013-10-12
12,Sistema,184222800,2013-10-13
13,Sistema,185433300,2013-10-14
14,Sistema,176271900,2013-10-15
15,Sistema,147337400,2013-10-16
16,Sistema,137358200,2013-10-17
17,Sistema,111852800,2013-10-18
18,Sistema,112704000,2013-10-19
19,Sistema,104630300,2013-10-20
20,Sistema,138068000,2013-10-21
21,Sistema,171875100,2013-10-22
22,Sistema,125021600,2013-10-23
23,Sistema,117575900,2013-10-24
24,Sistema,103939300,2013-10-25
25,Sistema,88980300,2013-10-26
26,Sistema,111235100,2013-10-27
27,Sistema,101564200,2013-10-28
28,Sistema,92261000,2013-10-29
29,Sistema,109519200,2013-10-30
30,Sistema,113110000,2013-10-31
31,Sistema,99757100,2013-11-01
32,Sistema,102229700,2013-11-02
33,Sistema,109057300,2013-11-03
34,Sistema,239554900,2013-11-04
35,Sistema,247247400,2013-11-05
36,Sistema,211818400,2013-11-06
37,Sistema,287644600,2013-11-07
38,Sistema,191409900,2013-11-08
39,Sistema,200467200,2013-11-09
40,Sistema,189542900,2013-11-10
41,Sistema,144811300,2013-11-11
42,Sistema,171691600,2013-11-12
43,Sistema,150993500,2013-11-13
44,Sistema,168654100,2013-11-14
45,Sistema,181773300,2013-11-15
46,Sistema,131620700,2013-11-16
47,Sistema,122112900,2013-11-17
48,Sistema,115151500,2013-11-18
49,Sistema,152323300,2013-11-19
50,Sistema,163751000,2013-11-20
51,Sistema,203184100,2013-11-21
52,Sistema,125324600,2013-11-22
53,Sistema,126926100,2013-11-23
54,Sistema,152402000,2013-11-24
55,Sistema,163024000,2013-11-25
56,Sistema,183827100,2013-11-26
57,Sistema,208114700,2013-11-27
58,Sistema,173382700,2013-11-28
59,Sistema,155796100,2013-11-29
60,Sistema,207950400,2013-11-30
61,Sistema,241419600,2013-12-01
62,Sistema,307981000,2013-12-02
63,Sistema,230454500,2013-12-03
64,Sistema,178563600,2013-12-04
65,Sistema,150430400,2013-12-05
66,Sistema,148671800,2013-12-06
67,Sistema,149918500,2013-12-07
68,Sistema,155604300,2013-12-08
69,Sistema,155477000,2013-12-09
70,Sistema,126537700,2013-12-10
71,Sistema,128473800,2013-12-11
72,Sistema,118091700,2013-12-12
73,Sistema,122017600,2013-12-13
74,Sistema,107984900,2013-12-14
75,Sistema,140453400,2013-12-15
76,Sistema,108622200,2013-12-16
77,Sistema,133993700,2013-12-17
78,Sistema,130314200,2013-12-18
79,Sistema,128047900,2013-12-19
80,Sistema,105801700,2013-12-20
81,Sistema,102728700,2013-12-21
82,Sistema,140329800,2013-12-22
83,Sistema,207421400,2013-12-23
84,Sistema,169007800,2013-12-24
85,Sistema,125060500,2013-12-25
86,Sistema,107493400,2013-12-26
87,Sistema,105179500,2013-12-27
88,Sistema,96532500,2013-12-28
89,Sistema,95752000,2013-12-29
90,Sistema,93471200,2013-12-30
91,Sistema,94627300,2013-12-31
92,Sistema,89094000,2014-01-01
93,Sistema,81609800,2014-01-02
94,Sistema,99441100,2014-01-03
95,Sistema,85628200,2014-01-04
96,Sistema,84257000,2014-01-05
97,Sistema,143822100,2014-01-06
98,Sistema,125296400,2014-01-07
99,Sistema,107233400,2014-01-08
100,Sistema,109524700,2014-01-09
101,Sistema,100415500,2014-01-10
102,Sistema,104300700,2014-01-11
103,Sistema,99699500,2014-01-12
104,Sistema,81682600,2014-01-13
105,Sistema,74681600,2014-01-14
106,Sistema,76955400,2014-01-15
107,Sistema,80294000,2014-01-16
108,Sistema,78621700,2014-01-17
109,Sistema,66511600,2014-01-18
110,Sistema,69223200,2014-01-19
111,Sistema,89087900,2014-01-20
112,Sistema,71040900,2014-01-21
113,Sistema,85855200,2014-01-22
114,Sistema,75266500,2014-01-23
115,Sistema,65346900,2014-01-24
116,Sistema,72031600,2014-01-25
117,Sistema,71354100,2014-01-26
118,Sistema,63433900,2014-01-27
119,Sistema,72737800,2014-01-28
120,Sistema,79543700,2014-01-29
121,Sistema,74227300,2014-01-30
122,Sistema,71509600,2014-01-31
123,Sistema,69645600,2014-02-01
124,Sistema,82775200,2014-02-02
125,Sistema,95573100,2014-02-03
126,Sistema,72070300,2014-02-04
127,Sistema,74947600,2014-02-05
128,Sistema,80222600,2014-02-06
129,Sistema,73708700,2014-02-07
130,Sistema,67339800,2014-02-08
131,Sistema,65764500,2014-02-09
132,Sistema,75057700,2014-02-10
133,Sistema,72545000,2014-02-11
134,Sistema,67532800,2014-02-12
135,Sistema,79273000,2014-02-13
136,Sistema,73229200,2014-02-14
137,Sistema,61790600,2014-02-15
138,Sistema,65958500,2014-02-16
139,Sistema,62897600,2014-02-17
140,Sistema,78499600,2014-02-18
141,Sistema,91609300,2014-02-19
142,Sistema,89439800,2014-02-20
143,Sistema,125822600,2014-02-21
144,Sistema,102312900,2014-02-22
145,Sistema,85774400,2014-02-23
146,Sistema,90300700,2014-02-24
147,Sistema,119493600,2014-02-25
148,Sistema,95006200,2014-02-26
149,Sistema,213615200,2014-02-27
150,Sistema,191383000,2014-02-28
151,Sistema,147330500,2014-03-01
152,Sistema,117119600,2014-03-02
153,Sistema,148495300,2014-03-03
154,Sistema,144455100,2014-03-04
155,Sistema,123216400,2014-03-05
156,Sistema,114789800,2014-03-06
157,Sistema,127391400,2014-03-07
158,Sistema,134183900,2014-03-08
159,Sistema,127773300,2014-03-09
160,Sistema,110611400,2014-03-10
161,Sistema,106454200,2014-03-11
162,Sistema,126364300,2014-03-12
163,Sistema,117136100,2014-03-13
164,Sistema,114584100,2014-03-14
165,Sistema,134841800,2014-03-15
166,Sistema,123695400,2014-03-16
167,Sistema,105985400,2014-03-17
168,Sistema,116999300,2014-03-18
169,Sistema,105806700,2014-03-19
170,Sistema,87417100,2014-03-20
171,Sistema,77422700,2014-03-21
172,Sistema,77133100,2014-03-22
173,Sistema,88300400,2014-03-23
174,Sistema,78525000,2014-03-24
175,Sistema,90280600,2014-03-25
176,Sistema,117572600,2014-03-26
177,Sistema,77280600,2014-03-27
