,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Sistema,Sistema,5652791.52,5434676.04,5317141.75,5276928.62,5546540.88,6201108.04,6379259.59,6709058.07,7184259.55,7489376.38,7831492.47,8128518.02,7890811.45,7849727.43,7986292.27,8057228.31,8065553.07,8123746.36,8994497.99,9013217.17,8537423.32,7867980.39,7017838.98,6137747.72,2013-10-01
1,Sistema,Sistema,5677851.52,5477764.86,5378952.23,5363349.58,5612340.88,6254438.19,6436153.78,6781485.33,7326329.38,7598518.11,7905521.61,8332628.63,8096414.94,8098192.16,8271824.91,8295899.55,8219480.02,8354390.63,9257396.62,9228358.81,8765813.28,8126048.3,7315892.17,6351571.17,2013-10-02
2,Sistema,Sistema,5924722.52,5723195.66,5583457.41,5576196.96,5814280.41,6446987.43,6605138.76,6999708.38,7470373.32,7807337.24,8194426.67,8550757.6,8397902.88,8375696.9,8446102.22,8424219.15,8309044.38,8326148.78,9257384.87,9189614.04,8691094.41,8059333.2,7236136.29,6398200.98,2013-10-03
3,Sistema,Sistema,5875616.2,5591186.74,5488837.22,5504456.12,5722966.69,6306930.44,6519761.99,6858336.16,7303895.32,7524496.88,7851274.3,8122580.13,7906954.43,7842825.3,7983446.93,7995739.24,7939393.18,8133314.95,8950259.06,8856754.85,8265433.53,7679348.57,6937681.68,6290652.12,2013-10-04
4,Sistema,Sistema,5800445.58,5529161.83,5372898.1,5339722.55,5454094.02,5623988.94,5851244.67,6437923.62,7051874.52,7454591.91,7718299.47,7892357.19,7786000.8,7551367.69,7325527.4,7215059.26,7087162.94,7163605.7,8311249.84,8388383.36,7997181.5,7494951.82,6832508.25,6239010.18,2013-10-05
5,Sistema,Sistema,5840446.73,5554679.52,5386319.43,5250025.13,5271524,5218660.33,5135597.06,5509630.11,5929736.26,6230219.84,6550799.89,6692051.21,6720102.75,6576023.7,6413109.02,6303065.54,6266641.58,6409718.96,7586912.64,7799817.77,7605748.51,7246982.45,6664487.32,6047160.06,2013-10-06
6,Sistema,Sistema,5668973.26,5491166.46,5373277.16,5358050.9,5499975.3,5840192.63,6148086.2,6751302.16,7407072.13,7766447.46,8105089.86,8364194.69,8218553.44,8135420.05,8157306.3,8104719.52,8043455.77,8138600.2,8902860.18,8977651.39,8459102.54,7890367.79,7077336.6,6289271.55,2013-10-07
7,Sistema,Sistema,5840048.31,5618187.36,5474969.93,5424068.89,5629371.11,6015093.52,6276246.03,6884781.43,7453232.54,7772693.5,8109065.09,8338340.51,8154388.83,8090162.65,8206766.68,8191496.38,8073237.25,8240352.2,9079649.29,9002354.75,8681841.37,8099158.38,7277134.04,6388595.19,2013-10-08
8,Sistema,Sistema,5850874.96,5661216.5,5533278.13,5511104.41,5665200.05,6006070.03,6328984.12,6938649.67,7542803.46,7867178.15,8268694.66,8630883.73,8408537.88,8312989.01,8341699.8,8366764.07,8263627.12,8329831.89,9131443.1,9041767.57,8675036.12,8174874.78,7355968.59,6525358.39,2013-10-09
9,Sistema,Sistema,6035617.69,5774856.58,5612644.52,5599861.62,5800907.78,6108235.57,6464402.71,7045829.76,7666571.82,7886487.9,8298211.29,8658825.43,8437342.91,8257141.69,8419858.45,8397645.21,8304774.35,8439288.16,9202179.21,9103546.18,8678356.05,8157838,7394245.88,6482551.52,2013-10-10
10,Sistema,Sistema,6003942.31,5792745.39,5626019.63,5562446.74,5748215.7,6078101.6,6400233.51,7007842.46,7597626.22,7971902.52,8267575.66,8502513.02,8350983.24,8308274.82,8347577.01,8239039.56,8035390.08,8167326.53,8905005.48,8755194.14,8414718.11,7902193.2,7209638.93,6464105.94,2013-10-11
11,Sistema,Sistema,6024482.9,5770464.13,5651314.65,5582850.85,5690360.41,5767206.22,5895351.25,6487622.23,7039271.99,7511911.04,7834604.38,7980891.21,7896126.57,7681178.71,7455991.9,7305025.95,7234329.03,7465333.34,8361913.42,8368791.38,7997804.19,7510319.02,6834031.94,6130967.89,2013-10-12
12,Sistema,Sistema,5755788.82,5505252.07,5381866.16,5279509.94,5249534.39,5207036.71,5041527.41,5418568.44,5784658.54,6077088.19,6294941.79,6416874.36,6444487.04,6351327.26,6215132.57,6145005.63,6110638.57,6521147,7507758.55,7579342.3,7397612.33,7003169.49,6525160.44,5963287.74,2013-10-13
13,Sistema,Sistema,5548808.21,5241325.56,5070386.37,4991658.96,5022848.32,5052913.61,5005146.24,5342335.68,5893194.91,6307770.61,6614823.01,6826761.22,6934429.77,6821713.01,6622525.01,6542478.97,6485878.78,6819738.12,7867621.04,7976898.57,7669006.06,7130165.8,6430987.34,5754807.11,2013-10-14
14,Sistema,Sistema,5417562.34,5222531.3,5124485.22,5144016.1,5419678.12,6091284.38,6311184.28,6674391.76,7309892.96,7677611.35,7995907.22,8206624.98,7987215.67,8001836.27,8149716.63,8109762.91,8067004.03,8226767.4,9043029.94,8933428.08,8420201.72,7851673.81,6991111.23,6192760.72,2013-10-15
15,Sistema,Sistema,5686021.98,5466539.45,5326444.26,5312331.38,5561130.67,6217085.57,6423799.69,6787424.15,7283268.61,7509679.41,7806339.87,8112130.43,7871217.33,7742420.15,7818294.09,7909807.57,7881883.68,8157962.3,8818211.17,8677771.87,8262553.1,7598668.09,6731645.76,5911143.43,2013-10-16
16,Sistema,Sistema,5473377.02,5294949.02,5195985.45,5172885.36,5453658.35,6132450.71,6380244.72,6695054.97,7162011.66,7356902.67,7660732.95,8039478.37,7877733.63,7886128.04,8027071.46,7871837.43,7897391.31,8065103.7,8962564.2,8881379.81,8497500.14,7903423.71,7034807.74,6190202.67,2013-10-17
17,Sistema,Sistema,5758823.43,5523076.45,5384437.36,5363958.48,5620650.64,6257210.03,6488278.75,6921788.85,7434962.77,7742985.05,8078178.82,8360995.9,8208059.51,8196187.47,8378665.88,8371189.6,8135563.61,8206742.64,8978135.28,8853338.51,8501279.99,7961477.27,7181478.18,6388475.5,2013-10-18
18,Sistema,Sistema,5951312.37,5688543.84,5550964.78,5471138.07,5581874.34,5708532.73,5905167.95,6451146.29,6972450.94,7318790.25,7618525.25,7942335.19,7843425.78,7689895.46,7491515.16,7415508.32,7336806.43,7578083.83,8557973.25,8476525.78,8150367.43,7639277.56,6962293.21,6252631.23,2013-10-19
19,Sistema,Sistema,5795220.8,5497966.72,5282989.04,5217628.85,5177026.08,5073129.23,5036731.92,5422409.44,5844227.63,6148071.84,6397333.57,6578783.1,6690828.17,6580062.93,6441518.46,6332299.01,6255138.42,6718665.41,7811229.26,7949472.59,7787987.63,7344756.44,6668269.66,5981413.84,2013-10-20
20,Sistema,Sistema,5601036.15,5405506.29,5278760.61,5242772.37,5488218.17,6148104.36,6373408.84,6781200.77,7319563.94,7614054.68,7926987.62,8265886.7,8039134.95,8013972.63,8148526.2,8159435.81,8098972.65,8245549.9,9039355.15,8939450.38,8571528.43,7912808.68,7018517.41,6129211.16,2013-10-21
21,Sistema,Sistema,5667106.11,5459756.61,5367557.4,5328941.13,5589833.51,6218210.73,6477187.24,6811274.88,7292893.75,7517147.85,7779967.81,8050577.7,7860073.24,7814225.29,8001450.88,8034893.79,8020888.1,8205162.72,9075865.66,8967229.95,8553851.16,7948648.48,7068121.93,6198317.99,2013-10-22
