,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Sistema,Sistema,136.24,136.24,136.24,136.24,136.24,139.73,139.73,149.24,149.24,149.24,154.24,154.24,149.24,149.24,154.24,154.24,149.24,149.24,164.24,164.24,154.24,149.24,149.24,139.73,2013-10-01
1,Sistema,Sistema,141.55,141.55,141.55,141.55,142.45,142.45,142.45,142.45,145.34,151.45,151.45,151.58,151.45,151.45,151.58,151.45,151.45,151.45,170.77,170.77,151.58,151.45,142.45,142.45,2013-10-02
2,Sistema,Sistema,151.21,151.21,151.21,151.21,151.21,155.99,155.99,155.99,162.01,202.01,203.01,202.01,162.01,189.61,189.61,189.61,162.01,162.01,189.61,189.61,202.01,162.01,155.99,151.21,2013-10-03
3,Sistema,Sistema,154.42,154.42,154.42,154.42,154.42,154.42,156.3,156.3,156.3,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,157.42,156.3,154.42,2013-10-04
4,Sistema,Sistema,150.98,159.88,125.88,125.88,125.88,150.98,150.98,150.98,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,159.88,150.98,2013-10-05
5,Sistema,Sistema,111.95,100.95,95.09,71.95,71.95,71.95,71.95,71.95,100.95,111.95,111.95,111.95,150.95,150.95,159.95,111.95,111.95,150.95,171.05,171.05,171.05,171.05,171.05,150.95,2013-10-06
6,Sistema,Sistema,142.49,142.49,142.49,142.49,142.49,147.99,155.99,163.98,184.09,184.09,184.09,184.09,184.09,184.09,184.09,184.09,184.09,184.09,207.99,207.99,184.09,184.09,163.98,163.98,2013-10-07
7,Sistema,Sistema,165.92,165.92,153.84,153.84,165.92,165.92,165.92,168.03,168.03,176.93,176.93,179.34,169.28,176.93,176.93,169.28,169.28,168.03,179.34,179.34,168.03,168.03,168.03,165.92,2013-10-08
8,Sistema,Sistema,122.96,122.96,122.96,122.96,122.96,165.26,165.26,167.98,175.6,208.86,209.86,209.86,209.86,208.86,209.86,208.86,208.86,175.6,208.86,208.86,175.6,167.98,167.98,167.98,2013-10-09
9,Sistema,Sistema,159.86,159.86,145.84,145.84,153.77,159.86,159.86,165.6,165.6,169.86,169.86,170.34,169.86,169.86,169.86,169.86,169.86,165.6,169.86,169.86,165.6,165.6,159.86,159.86,2013-10-10
10,Sistema,Sistema,155.87,155.87,155.87,155.87,155.87,155.87,155.87,164.87,166.46,166.46,171.77,171.77,166.95,166.46,166.46,166.46,166.46,166.46,171.77,171.77,166.46,166.46,164.87,155.87,2013-10-11
11,Sistema,Sistema,160.17,160.17,160.17,160.17,160.17,160.17,160.17,160.17,163.99,209.07,225.07,225.07,163.99,163.99,163.99,163.99,163.99,163.99,163.99,204.07,163.99,163.99,160.17,160.17,2013-10-12
12,Sistema,Sistema,166.23,166.23,166.23,166.23,165.23,164.68,164.68,164.68,166.23,166.23,166.23,166.23,166.23,166.23,166.23,166.23,166.23,166.23,221.73,221.73,221.73,176.73,166.23,166.23,2013-10-13
13,Sistema,Sistema,177.17,177.17,177.17,162.87,162.87,177.17,175.17,177.17,177.17,177.17,182.12,182.12,182.12,182.12,182.12,182.12,182.12,182.12,196.17,201.17,196.17,182.12,182.12,177.17,2013-10-14
14,Sistema,Sistema,146.87,146.87,146.87,146.87,146.87,174.85,181.97,184.47,184.47,184.47,186.97,186.97,186.97,186.97,186.97,186.97,186.97,186.97,204.92,204.92,186.97,184.47,176.97,146.87,2013-10-15
15,Sistema,Sistema,176.74,176.74,176.74,176.74,176.74,176.74,184.19,204.19,204.19,204.19,204.19,212.19,204.19,204.19,204.19,204.19,204.19,204.19,212.19,204.19,204.19,191.19,184.19,176.74,2013-10-16
16,Sistema,Sistema,177.59,177.59,176.59,177.59,177.59,177.59,180.8,180.8,180.8,180.8,198.79,203.49,203.49,203.49,203.49,203.49,203.49,203.49,203.49,203.49,203.49,198.79,180.8,177.59,2013-10-17
17,Sistema,Sistema,172.96,168.06,168.06,168.06,168.86,173.86,173.86,173.86,173.86,176.87,201.08,201.08,201.08,201.08,201.08,201.08,201.08,201.08,201.08,201.08,201.08,201.08,173.86,173.86,2013-10-18
18,Sistema,Sistema,163.31,153.31,153.31,153.31,153.31,153.31,163.31,190.29,197.51,197.51,197.51,197.51,197.51,197.51,197.51,197.51,197.51,197.51,207.31,197.51,197.51,197.51,190.29,190.29,2013-10-19
19,Sistema,Sistema,207.22,207.22,190.22,190.22,190.22,176.93,162.22,190.22,202.22,207.22,207.22,207.22,207.22,207.22,207.22,207.22,207.22,207.22,214.9,214.9,214.9,207.22,207.22,207.22,2013-10-20
20,Sistema,Sistema,151.47,151.47,151.47,151.47,161.47,173.57,173.57,173.57,176.47,176.47,251.47,267.96,216.08,216.08,216.47,216.47,216.08,251.47,267.96,267.96,267.96,176.47,173.57,173.57,2013-10-21
21,Sistema,Sistema,181.67,181.67,181.67,181.67,181.67,181.67,254.77,284.77,294.77,303.77,303.77,303.77,303.77,294.77,303.77,303.77,303.77,303.77,303.77,303.77,303.77,294.77,185.45,181.67,2013-10-22
22,Sistema,Sistema,180.12,180.12,180.12,180.12,180.12,234.62,234.62,234.62,280.73,280.73,280.73,309.62,299.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,280.73,280.73,234.62,2013-10-23
23,Sistema,Sistema,254.24,233.84,221.34,233.84,254.24,254.24,254.24,254.24,264.34,273.46,273.46,273.46,273.46,273.46,273.46,273.46,273.46,273.46,310.34,310.34,273.46,273.46,254.24,254.24,2013-10-24
24,Sistema,Sistema,255.78,255.78,255.78,255.78,255.78,260.67,255.78,260.67,271.17,271.17,271.17,271.17,271.17,271.17,271.17,271.17,271.17,271.17,320.77,320.77,271.17,271.17,260.98,255.78,2013-10-25
25,Sistema,Sistema,211.22,211.22,211.22,211.22,211.22,211.22,211.22,231.22,255.22,309.95,326.22,331.22,331.22,326.22,326.22,255.22,301.22,326.22,332.05,332.05,331.22,326.22,255.22,255.22,2013-10-26
26,Sistema,Sistema,232.78,220.78,220.78,232.78,232.78,232.78,220.78,232.78,240.78,240.78,240.78,302.28,302.28,302.28,267.33,240.78,240.78,302.28,302.28,302.28,302.28,302.28,302.28,232.78,2013-10-27
27,Sistema,Sistema,210.14,181.24,157.7,181.24,210.14,210.14,210.14,221.14,221.14,233.14,233.14,271.14,401.14,401.14,401.14,401.14,401.14,401.14,401.14,401.14,401.14,401.14,233.14,221.14,2013-10-28
28,Sistema,Sistema,235.13,235.13,235.13,235.13,235.13,235.13,235.13,235.13,352.13,352.13,352.13,352.13,352.13,352.13,352.13,352.13,352.13,352.13,412.13,412.13,352.13,352.13,267.13,235.13,2013-10-29
