,Id,Value,Date
0,Sistema,9520171994,2013-10-01
1,Sistema,9480617576.9,2013-10-02
2,Sistema,9488427942.9,2013-10-03
3,Sistema,9685847285.1,2013-10-04
4,Sistema,9726045133.9,2013-10-05
5,Sistema,9724869616.5,2013-10-06
6,Sistema,9688387580.4,2013-10-07
7,Sistema,9687093429.1,2013-10-08
8,Sistema,9654790479.1,2013-10-09
9,Sistema,9636406816.8,2013-10-10
10,Sistema,9613226706.3,2013-10-11
11,Sistema,9593615239.1,2013-10-12
12,Sistema,9658384496.9,2013-10-13
13,Sistema,9711373924.9,2013-10-14
14,Sistema,9741773137,2013-10-15
15,Sistema,9750989724,2013-10-16
16,Sistema,9751690553.5,2013-10-17
17,Sistema,9714431521.5,2013-10-18
18,Sistema,9694413913.8,2013-10-19
19,Sistema,9689002645.9,2013-10-20
20,Sistema,9681752522.7,2013-10-21
21,Sistema,9722701605.8,2013-10-22
22,Sistema,9716285901.7,2013-10-23
23,Sistema,9702874107.7,2013-10-24
24,Sistema,9675715669.1,2013-10-25
25,Sistema,9648333806.9,2013-10-26
26,Sistema,9652176472.9,2013-10-27
27,Sistema,9613475859,2013-10-28
28,Sistema,9567430873.8,2013-10-29
29,Sistema,9545043035.7,2013-10-30
30,Sistema,9530486646.5,2013-10-31
31,Sistema,9502936376.8,2013-11-01
32,Sistema,9501767121.1,2013-11-02
33,Sistema,9526551755.9,2013-11-03
34,Sistema,9643836919.6,2013-11-04
35,Sistema,9754953628.4,2013-11-05
36,Sistema,9823879266.7,2013-11-06
37,Sistema,9947779442.7,2013-11-07
38,Sistema,9999161399.3,2013-11-08
39,Sistema,10056224396.1,2013-11-09
40,Sistema,10114283358,2013-11-10
41,Sistema,10119514782.2,2013-11-11
42,Sistema,10138029785.7,2013-11-12
43,Sistema,10147915659.6,2013-11-13
44,Sistema,10176269504.6,2013-11-14
45,Sistema,10210347650.1,2013-11-15
46,Sistema,10202480393.6,2013-11-16
47,Sistema,10207701020.5,2013-11-17
48,Sistema,10175824061.5,2013-11-18
49,Sistema,10185551714.6,2013-11-19
50,Sistema,10202401173.6,2013-11-20
51,Sistema,10246327007.9,2013-11-21
52,Sistema,10233449501.8,2013-11-22
53,Sistema,10225507756.2,2013-11-23
54,Sistema,10270000832.3,2013-11-24
55,Sistema,10276320224.9,2013-11-25
56,Sistema,10301681376.6,2013-11-26
57,Sistema,10337717994.8,2013-11-27
58,Sistema,10359202387.4,2013-11-28
59,Sistema,10380753259.2,2013-11-29
60,Sistema,10436367710.1,2013-11-30
61,Sistema,10518823498.7,2013-12-01
62,Sistema,10632257206.9,2013-12-02
63,Sistema,10692760872.8,2013-12-03
64,Sistema,10714866044.2,2013-12-04
65,Sistema,10722004626.8,2013-12-05
66,Sistema,10723867027.1,2013-12-06
67,Sistema,10737463945.7,2013-12-07
68,Sistema,10771677286.8,2013-12-08
69,Sistema,10777236043.2,2013-12-09
70,Sistema,10760460092,2013-12-10
71,Sistema,10739715865,2013-12-11
72,Sistema,10710879973.6,2013-12-12
73,Sistema,10679184186.8,2013-12-13
74,Sistema,10660419342.5,2013-12-14
75,Sistema,10683727340.1,2013-12-15
76,Sistema,10668741247,2013-12-16
77,Sistema,10670584327.4,2013-12-17
78,Sistema,10665287977,2013-12-18
79,Sistema,10655441282,2013-12-19
80,Sistema,10636427171.5,2013-12-20
81,Sistema,10611293124.4,2013-12-21
82,Sistema,10629669442.3,2013-12-22
83,Sistema,10692294936.3,2013-12-23
84,Sistema,10722097669.5,2013-12-24
85,Sistema,10733742003.1,2013-12-25
86,Sistema,10696307923.4,2013-12-26
